FileName,t,k,v,SeedSize,UsedSeedSize,TSSize,TSTime,cRnd,cInc,totTuples,relCRnd,relCInc
benchmark1,2,5,7,0,0,108,75.0,0.0,4.537037037037037,490,0.0,0.4537037037037037
benchmark1,2,5,7,1,1,106,32.0,10.0,4.571428571428571,490,1.0,0.45714285714285713
benchmark1,2,5,7,2,2,104,13.0,9.5,4.617647058823529,490,0.95,0.4617647058823529
benchmark1,2,5,7,3,3,101,10.0,10.0,4.6938775510204085,490,1.0,0.46938775510204084
benchmark1,2,5,7,4,4,98,11.0,9.75,4.797872340425532,490,0.975,0.4797872340425532
benchmark1,2,5,7,5,5,97,13.0,9.6,4.804347826086956,490,0.96,0.4804347826086956
benchmark1,2,5,7,6,6,94,11.0,9.666666666666666,4.909090909090909,490,0.9666666666666666,0.4909090909090909
benchmark1,2,5,7,7,7,95,11.0,8.857142857142858,4.863636363636363,490,0.8857142857142858,0.48636363636363633
benchmark1,2,5,7,8,8,90,12.0,9.375,5.060975609756097,490,0.9375,0.5060975609756098
benchmark1,2,5,7,9,9,97,12.0,9.444444444444445,4.6022727272727275,490,0.9444444444444444,0.46022727272727276
benchmark1,2,5,7,10,10,94,10.0,9.2,4.738095238095238,490,0.9199999999999999,0.4738095238095238
benchmark1,2,5,7,11,11,92,11.0,8.454545454545455,4.901234567901234,490,0.8454545454545455,0.4901234567901234
benchmark1,2,5,7,12,12,94,11.0,8.583333333333334,4.719512195121951,490,0.8583333333333334,0.47195121951219515
benchmark1,2,5,7,13,13,89,10.0,8.76923076923077,4.947368421052632,490,0.876923076923077,0.4947368421052632
benchmark1,2,5,7,14,14,88,13.0,8.642857142857142,4.986486486486487,490,0.8642857142857142,0.49864864864864866
benchmark1,2,5,7,15,15,86,10.0,8.466666666666667,5.112676056338028,490,0.8466666666666667,0.5112676056338028
benchmark1,2,5,7,16,16,89,10.0,8.9375,4.7534246575342465,490,0.89375,0.47534246575342465
benchmark1,2,5,7,17,17,89,10.0,8.058823529411764,4.902777777777778,490,0.8058823529411765,0.49027777777777776
benchmark1,2,5,7,18,18,86,9.0,8.11111111111111,5.0588235294117645,490,0.8111111111111111,0.5058823529411764
benchmark1,2,5,7,19,19,86,4.0,8.947368421052632,4.776119402985074,490,0.8947368421052632,0.4776119402985074
benchmark1,2,5,7,20,20,90,8.0,8.35,4.614285714285714,490,0.835,0.4614285714285714
benchmark1,2,5,7,21,21,90,12.0,7.809523809523809,4.72463768115942,490,0.780952380952381,0.472463768115942
benchmark1,2,5,7,22,22,87,5.0,8.363636363636363,4.707692307692308,490,0.8363636363636363,0.4707692307692308
benchmark1,2,5,7,23,23,85,7.0,8.304347826086957,4.82258064516129,490,0.8304347826086957,0.482258064516129
benchmark1,2,5,7,24,24,89,4.0,8.041666666666666,4.569230769230769,490,0.8041666666666666,0.4569230769230769
benchmark1,2,5,7,25,25,87,6.0,8.4,4.516129032258065,490,0.8400000000000001,0.4516129032258065
benchmark1,2,5,7,26,26,89,5.0,7.653846153846154,4.619047619047619,490,0.7653846153846154,0.4619047619047619
benchmark1,2,5,7,27,27,85,7.0,7.703703703703703,4.862068965517241,490,0.7703703703703704,0.4862068965517241
benchmark1,2,5,7,28,28,85,7.0,8.214285714285714,4.56140350877193,490,0.8214285714285714,0.45614035087719296
benchmark1,2,5,7,29,29,86,7.0,7.896551724137931,4.578947368421052,490,0.789655172413793,0.45789473684210524
benchmark1,2,5,7,30,30,91,5.0,7.4,4.39344262295082,490,0.74,0.439344262295082
benchmark1,2,5,7,31,31,90,7.0,7.645161290322581,4.288135593220339,490,0.7645161290322581,0.4288135593220339
benchmark1,2,5,7,32,32,88,7.0,7.21875,4.625,490,0.721875,0.4625
benchmark1,2,5,7,33,33,93,5.0,7.03030303030303,4.3,490,0.703030303030303,0.43
benchmark1,2,5,7,34,33,87,7.0,7.515151515151516,4.481481481481482,490,0.7515151515151516,0.4481481481481482
benchmark1,2,5,7,35,35,90,4.0,6.914285714285715,4.509090909090909,490,0.6914285714285715,0.45090909090909087
benchmark1,2,5,7,36,36,88,3.0,7.111111111111111,4.5,490,0.711111111111111,0.45
benchmark1,2,5,7,37,37,88,4.0,6.891891891891892,4.607843137254902,490,0.6891891891891893,0.46078431372549017
benchmark1,2,5,7,38,38,91,7.0,7.052631578947368,4.188679245283019,490,0.7052631578947368,0.4188679245283019
benchmark1,2,5,7,39,39,90,7.0,6.948717948717949,4.294117647058823,490,0.6948717948717948,0.4294117647058823
benchmark1,2,5,7,40,40,90,6.0,6.875,4.3,490,0.6875,0.43
benchmark1,2,5,7,41,41,88,7.0,7.0,4.319148936170213,490,0.7,0.4319148936170213
benchmark1,2,5,7,42,42,92,8.0,6.690476190476191,4.18,490,0.6690476190476191,0.418
benchmark1,2,5,7,43,43,90,10.0,6.534883720930233,4.446808510638298,490,0.6534883720930232,0.44468085106382976
benchmark1,2,5,7,44,44,90,9.0,6.318181818181818,4.608695652173913,490,0.6318181818181818,0.4608695652173913
benchmark1,2,5,7,45,45,90,8.0,6.711111111111111,4.177777777777778,490,0.6711111111111111,0.4177777777777778
benchmark1,2,5,7,46,46,92,7.0,6.673913043478261,3.9782608695652173,490,0.6673913043478261,0.3978260869565217
benchmark1,2,5,7,47,47,94,9.0,6.319148936170213,4.1063829787234045,490,0.6319148936170212,0.41063829787234046
benchmark1,2,5,7,48,48,95,7.0,6.291666666666667,4.0,490,0.6291666666666667,0.4
benchmark1,2,5,7,49,49,90,8.0,6.571428571428571,4.097560975609756,490,0.6571428571428571,0.40975609756097564
benchmark1,2,5,7,50,50,91,6.0,6.44,4.097560975609756,490,0.644,0.40975609756097564
benchmark1,2,5,7,51,51,93,5.0,6.235294117647059,4.095238095238095,490,0.6235294117647059,0.4095238095238095
benchmark1,2,5,7,52,52,90,8.0,6.326923076923077,4.2368421052631575,490,0.6326923076923077,0.4236842105263158
benchmark1,2,5,7,53,53,92,9.0,6.09433962264151,4.282051282051282,490,0.6094339622641509,0.4282051282051282
benchmark1,2,5,7,54,54,94,6.0,6.148148148148148,3.95,490,0.6148148148148148,0.395
benchmark1,2,5,7,55,55,92,7.0,6.381818181818182,3.7567567567567566,490,0.6381818181818182,0.37567567567567567
benchmark1,2,5,7,56,55,95,7.0,6.036363636363636,3.95,490,0.6036363636363636,0.395
benchmark1,2,5,7,57,57,94,5.0,6.017543859649122,3.972972972972973,490,0.6017543859649123,0.3972972972972973
benchmark1,2,5,7,58,58,95,6.0,6.086206896551724,3.7027027027027026,490,0.6086206896551725,0.37027027027027026
benchmark1,2,5,7,59,59,90,6.0,6.0508474576271185,4.290322580645161,490,0.6050847457627119,0.4290322580645161
benchmark1,2,5,7,60,59,96,7.0,5.610169491525424,4.297297297297297,490,0.5610169491525424,0.4297297297297297
benchmark1,2,5,7,61,61,99,8.0,5.655737704918033,3.8157894736842106,490,0.5655737704918032,0.3815789473684211
benchmark1,2,5,7,62,62,97,6.0,5.725806451612903,3.857142857142857,490,0.5725806451612903,0.38571428571428573
benchmark1,2,5,7,63,62,97,5.0,5.806451612903226,3.7142857142857144,490,0.5806451612903226,0.37142857142857144
benchmark1,2,5,7,64,64,94,6.0,5.8125,3.933333333333333,490,0.58125,0.3933333333333333
benchmark1,2,5,7,65,65,102,5.0,5.492307692307692,3.5945945945945947,490,0.5492307692307692,0.35945945945945945
benchmark1,2,5,7,66,66,102,5.0,5.424242424242424,3.6666666666666665,490,0.5424242424242424,0.36666666666666664
benchmark1,2,5,7,67,67,96,6.0,5.656716417910448,3.8275862068965516,490,0.5656716417910448,0.38275862068965516
benchmark1,2,5,7,68,68,104,6.0,5.5,3.2222222222222223,490,0.55,0.32222222222222224
benchmark1,2,5,7,69,69,99,5.0,5.405797101449275,3.9,490,0.5405797101449276,0.39
benchmark1,2,5,7,70,70,102,7.0,5.314285714285714,3.6875,490,0.5314285714285714,0.36875
benchmark1,2,5,7,71,71,103,6.0,5.169014084507042,3.84375,490,0.5169014084507042,0.384375
benchmark1,2,5,7,72,72,103,6.0,5.166666666666667,3.806451612903226,490,0.5166666666666667,0.3806451612903226
benchmark1,2,5,7,73,73,102,6.0,5.383561643835616,3.3448275862068964,490,0.5383561643835616,0.33448275862068966
benchmark1,2,5,7,74,74,105,6.0,5.162162162162162,3.4838709677419355,490,0.5162162162162163,0.34838709677419355
benchmark1,2,5,7,75,75,103,8.0,5.093333333333334,3.857142857142857,490,0.5093333333333334,0.38571428571428573
benchmark1,2,5,7,76,76,103,7.0,5.092105263157895,3.814814814814815,490,0.5092105263157894,0.3814814814814815
benchmark1,2,5,7,77,77,100,5.0,5.311688311688312,3.5217391304347827,490,0.5311688311688312,0.3521739130434783
benchmark1,2,5,7,78,78,105,5.0,5.102564102564102,3.4074074074074074,490,0.5102564102564102,0.34074074074074073
benchmark1,2,5,7,79,79,107,6.0,5.063291139240507,3.2142857142857144,490,0.5063291139240507,0.32142857142857145
benchmark1,2,5,7,80,80,108,6.0,4.925,3.4285714285714284,490,0.4925,0.34285714285714286
benchmark1,2,5,7,81,81,108,6.0,4.91358024691358,3.4074074074074074,490,0.491358024691358,0.34074074074074073
benchmark1,2,5,7,82,82,107,8.0,4.963414634146342,3.32,490,0.4963414634146342,0.33199999999999996
benchmark1,2,5,7,83,83,109,6.0,4.879518072289157,3.269230769230769,490,0.4879518072289157,0.3269230769230769
benchmark1,2,5,7,84,84,112,6.0,4.821428571428571,3.0357142857142856,490,0.4821428571428571,0.30357142857142855
benchmark1,2,5,7,85,85,109,6.0,4.670588235294118,3.875,490,0.4670588235294118,0.3875
benchmark1,2,5,7,86,85,110,6.0,4.729411764705882,3.52,490,0.47294117647058825,0.352
benchmark1,2,5,7,87,87,114,6.0,4.574712643678161,3.4074074074074074,490,0.45747126436781615,0.34074074074074073
benchmark1,2,5,7,88,88,110,6.0,4.681818181818182,3.5454545454545454,490,0.46818181818181814,0.35454545454545455
benchmark1,2,5,7,89,89,112,8.0,4.741573033707865,2.9565217391304346,490,0.4741573033707865,0.29565217391304344
benchmark1,2,5,7,90,90,112,6.0,4.666666666666667,3.1818181818181817,490,0.4666666666666667,0.3181818181818182
benchmark1,2,5,7,91,91,113,6.0,4.56043956043956,3.409090909090909,490,0.45604395604395603,0.34090909090909094
benchmark1,2,5,7,92,92,117,6.0,4.576086956521739,2.76,490,0.45760869565217394,0.27599999999999997
benchmark1,2,5,7,93,93,120,5.0,4.365591397849462,3.111111111111111,490,0.4365591397849462,0.3111111111111111
benchmark1,2,5,7,94,94,114,7.0,4.542553191489362,3.15,490,0.4542553191489362,0.315
benchmark1,2,5,7,95,95,113,7.0,4.505263157894737,3.4444444444444446,490,0.45052631578947366,0.34444444444444444
benchmark1,2,5,7,96,96,115,6.0,4.447916666666667,3.3157894736842106,490,0.4447916666666667,0.3315789473684211
benchmark1,2,5,7,97,96,117,17.0,4.447916666666667,3.0,490,0.4447916666666667,0.3
benchmark1,2,5,7,98,98,119,7.0,4.275510204081633,3.380952380952381,490,0.4275510204081633,0.3380952380952381
benchmark1,2,5,7,99,98,119,5.0,4.275510204081633,3.380952380952381,490,0.4275510204081633,0.3380952380952381
benchmark1,2,5,7,100,99,120,7.0,4.343434343434343,2.857142857142857,490,0.43434343434343436,0.2857142857142857
benchmark1,2,5,7,101,100,118,6.0,4.38,2.888888888888889,490,0.438,0.28888888888888886
benchmark1,2,5,7,102,102,118,5.0,4.333333333333333,3.0,490,0.4333333333333333,0.3
benchmark1,2,5,7,103,103,124,6.0,4.087378640776699,3.2857142857142856,490,0.40873786407766993,0.32857142857142857
benchmark1,2,5,7,104,104,120,5.0,4.115384615384615,3.875,490,0.4115384615384615,0.3875
benchmark1,2,5,7,105,105,124,6.0,4.085714285714285,3.210526315789474,490,0.40857142857142853,0.32105263157894737
benchmark1,2,5,7,106,106,126,5.0,4.066037735849057,2.95,490,0.4066037735849057,0.29500000000000004
benchmark1,2,5,7,107,107,127,7.0,4.046728971962617,2.85,490,0.4046728971962617,0.28500000000000003
benchmark1,2,5,7,108,107,124,6.0,4.121495327102804,2.8823529411764706,490,0.4121495327102804,0.28823529411764703
benchmark1,2,5,7,109,109,127,7.0,4.027522935779817,2.8333333333333335,490,0.40275229357798165,0.2833333333333333
benchmark1,2,5,7,110,110,125,7.0,4.054545454545455,2.933333333333333,490,0.40545454545454546,0.29333333333333333
benchmark1,2,5,7,111,111,126,5.0,4.009009009009009,3.0,490,0.4009009009009009,0.3
benchmark1,2,5,7,112,112,128,5.0,3.919642857142857,3.1875,490,0.3919642857142857,0.31875
benchmark1,2,5,7,113,112,129,5.0,3.9285714285714284,2.9411764705882355,490,0.39285714285714285,0.29411764705882354
benchmark1,2,5,7,114,114,129,5.0,3.9473684210526314,2.6666666666666665,490,0.39473684210526316,0.26666666666666666
benchmark1,2,5,7,115,115,135,5.0,3.869565217391304,2.25,490,0.3869565217391304,0.225
benchmark1,2,5,7,116,116,130,5.0,3.8706896551724137,2.9285714285714284,490,0.38706896551724135,0.2928571428571428
benchmark1,2,5,7,117,117,132,4.0,3.7435897435897436,3.466666666666667,490,0.37435897435897436,0.3466666666666667
benchmark1,2,5,7,118,118,131,4.0,3.8983050847457625,2.3076923076923075,490,0.38983050847457623,0.23076923076923075
benchmark1,2,5,7,119,119,137,5.0,3.7394957983193278,2.5,490,0.3739495798319328,0.25
benchmark1,2,5,7,120,120,135,4.0,3.7583333333333333,2.6,490,0.37583333333333335,0.26
benchmark1,2,5,7,121,121,133,5.0,3.7768595041322315,2.75,490,0.37768595041322317,0.275
benchmark1,2,5,7,122,121,135,3.0,3.7520661157024793,2.5714285714285716,490,0.3752066115702479,0.2571428571428572
benchmark1,2,5,7,123,123,134,5.0,3.7235772357723578,2.909090909090909,490,0.3723577235772358,0.2909090909090909
benchmark1,2,5,7,124,124,139,4.0,3.620967741935484,2.7333333333333334,490,0.3620967741935484,0.2733333333333333
benchmark1,2,5,7,125,123,135,5.0,3.731707317073171,2.5833333333333335,490,0.37317073170731707,0.25833333333333336
benchmark1,2,5,7,126,125,139,4.0,3.6,2.857142857142857,490,0.36,0.2857142857142857
benchmark1,2,5,7,127,126,141,4.0,3.5,3.2666666666666666,490,0.35,0.32666666666666666
benchmark1,2,5,7,128,128,140,4.0,3.5625,2.8333333333333335,490,0.35625,0.2833333333333333
benchmark1,2,5,7,129,129,139,5.0,3.565891472868217,3.0,490,0.35658914728682173,0.3
benchmark1,2,5,7,130,129,142,5.0,3.4728682170542635,3.230769230769231,490,0.34728682170542635,0.3230769230769231
benchmark1,2,5,7,131,129,142,5.0,3.511627906976744,2.8461538461538463,490,0.3511627906976744,0.2846153846153846
benchmark1,2,5,7,132,130,140,6.0,3.5615384615384613,2.7,490,0.35615384615384615,0.27
benchmark1,2,5,7,133,133,143,6.0,3.473684210526316,2.8,490,0.3473684210526316,0.27999999999999997
benchmark1,2,5,7,134,134,144,5.0,3.4477611940298507,2.8,490,0.3447761194029851,0.27999999999999997
benchmark1,2,5,7,135,134,148,5.0,3.3805970149253732,2.642857142857143,490,0.33805970149253733,0.2642857142857143
