FileName,Strength,SeedSize,UsedSeedSize,TSSize,TSTime
benchmark1,4,0,0,4070,2252.0
benchmark1,4,10,10,3950,2729.0
benchmark1,4,20,20,3949,2914.0
benchmark1,4,30,30,3906,2883.0
benchmark1,4,40,40,3853,2589.0
benchmark1,4,50,50,3834,2699.0
benchmark1,4,60,60,3812,2728.0
benchmark1,4,70,70,3814,2479.0
benchmark1,4,80,80,3808,2656.0
benchmark1,4,90,90,3811,2639.0
benchmark1,4,100,100,3816,2420.0
benchmark1,4,110,110,3774,2574.0
benchmark1,4,120,120,3797,2614.0
benchmark1,4,130,130,3796,2404.0
benchmark1,4,140,139,3794,2557.0
benchmark1,4,150,149,3787,2584.0
benchmark1,4,160,159,3790,2362.0
benchmark1,4,170,169,3794,2605.0
benchmark1,4,180,178,3779,2554.0
benchmark1,4,190,190,3793,1753.0
UNIFORM_ALL_0,4,0,0,230,28.0
UNIFORM_ALL_0,4,10,10,215,31.0
UNIFORM_ALL_0,4,20,20,203,25.0
UNIFORM_ALL_0,4,30,29,202,27.0
UNIFORM_ALL_0,4,40,38,193,28.0
UNIFORM_ALL_0,4,50,50,202,34.0
UNIFORM_ALL_0,4,60,60,200,33.0
UNIFORM_ALL_0,4,70,70,202,27.0
UNIFORM_ALL_0,4,80,80,207,24.0
UNIFORM_ALL_0,4,90,83,199,24.0
UNIFORM_ALL_0,4,100,100,204,21.0
UNIFORM_ALL_0,4,110,109,209,22.0
UNIFORM_ALL_0,4,120,117,212,24.0
UNIFORM_ALL_0,4,130,127,210,21.0
UNIFORM_ALL_0,4,140,138,216,22.0
UNIFORM_ALL_0,4,150,147,222,30.0
UNIFORM_ALL_0,4,160,155,225,30.0
UNIFORM_ALL_0,4,170,162,232,34.0
UNIFORM_ALL_0,4,180,172,233,34.0
UNIFORM_ALL_0,4,190,182,243,32.0
UNIFORM_ALL_1,4,0,0,887,30954.0
UNIFORM_ALL_1,4,10,10,694,16596.0
UNIFORM_ALL_1,4,20,20,551,10761.0
UNIFORM_ALL_1,4,30,30,540,9953.0
UNIFORM_ALL_1,4,40,40,509,8616.0
UNIFORM_ALL_1,4,50,50,511,8669.0
UNIFORM_ALL_1,4,60,60,494,8145.0
UNIFORM_ALL_1,4,70,70,498,8105.0
UNIFORM_ALL_1,4,80,80,492,8039.0
UNIFORM_ALL_1,4,90,90,492,7914.0
UNIFORM_ALL_1,4,100,100,494,7967.0
UNIFORM_ALL_1,4,110,110,495,7786.0
UNIFORM_ALL_1,4,120,120,487,7742.0
UNIFORM_ALL_1,4,130,130,486,7670.0
UNIFORM_ALL_1,4,140,140,489,7910.0
UNIFORM_ALL_1,4,150,150,490,8534.0
UNIFORM_ALL_1,4,160,160,494,9209.0
UNIFORM_ALL_1,4,170,170,494,8270.0
UNIFORM_ALL_1,4,180,180,496,7808.0
UNIFORM_ALL_1,4,190,190,490,7771.0
UNIFORM_ALL_11,4,0,0,873,33521.0
