ModelName,TimeKali,SizeKali,TimePMedici,SizePMedici,TimeActs,SizeActs
MCAC_29,15.33,72,43.36,2172,130.13,1891
UNIFORM_BOOLEAN_2,2.08,14,1.92,14,0.31,10
MCAC_32,4.89,14,85.48,283,300.15,0
UNIFORM_ALL_1,59.95,1705,22.53,1376,0.7,725
MCA_1,1.97,4,1.92,4,0.27,4
BOOLC_28,2.22,22,2.0,36,0.68,10
UNIFORM_BOOLEAN_6,2.07,13,1.88,16,0.31,10
UNIFORM_ALL_29,14.54,634,5.97,465,0.5,312
UNIFORM_ALL_17,2.21,47,1.79,38,0.29,25
UNIFORM_ALL_42,2.54,256,1.96,256,0.29,256
MCAC_39,2.29,4,2.1,10,0.79,7
UNIFORM_BOOLEAN_41,2.02,11,1.92,11,0.26,8
UNIFORM_BOOLEAN_14,2.13,12,1.82,15,0.31,10
NUMC_25,175.95,4230,,,1.06,4950
BOOLC_7,2.18,9,2.04,35,0.88,9
MCA_24,66.66,2643,33.2,2786,0.67,2073
BOOLC_16,2.2,2,2.1,8,1.61,7
BOOLC_43,2.28,36,2.05,36,9.39,11
UNIFORM_ALL_2,13.86,794,5.94,596,0.47,349
MCA_20,29.26,2374,11.03,2155,0.49,1680
MCA_9,154.02,5112,60.53,4348,0.7,2352
MCAC_26,30.05,2238,9.66,2088,130.95,2072
BOOLC_12,2.0,4,1.89,4,0.95,4
BOOLC_47,2.44,26,2.08,34,16.33,14
UNIFORM_BOOLEAN_16,2.02,12,1.82,18,0.31,8
UNIFORM_BOOLEAN_43,2.06,13,1.88,14,0.3,10
UNIFORM_BOOLEAN_45,1.99,9,1.92,14,0.31,6
UNIFORM_BOOLEAN_10,1.98,13,1.82,15,0.29,10
UNIFORM_ALL_10,2.04,15,1.75,19,0.29,9
UNIFORM_ALL_45,27.97,1537,10.88,1146,0.57,620
UNIFORM_BOOLEAN_49,2.05,14,1.9,15,0.32,12
UNIFORM_BOOLEAN_46,2.02,12,1.87,11,0.27,10
UNIFORM_BOOLEAN_13,1.98,12,1.95,27,0.32,10
MCA_23,8.5,940,3.31,924,0.38,924
NUMC_22,4.96,512,,,0.78,506
BOOLC_0,2.16,13,1.98,24,0.98,8
UNIFORM_ALL_5,3.8,299,2.32,230,0.34,140
BOOLC_11,2.02,2,1.85,2,0.61,2
BOOLC_44,2.23,10,1.99,34,0.78,9
MCA_27,6.88,705,2.43,705,0.33,705
BOOLC_15,2.17,26,1.82,36,0.72,10
MCAC_21,29.51,588,15.95,1036,62.24,932
BOOLC_40,2.17,22,1.93,35,0.65,10
UNIFORM_ALL_48,2.24,46,1.88,40,0.29,25
