ToolName;ModelName;Strength;TimeSeconds;Size;ErrorType;;;;
acts;BOOLC_7;2;0.88;9;;;;;
acts;MCA_24;2;0.67;2073;;;;;
acts;BOOLC_16;2;1.61;7;;;;;
acts;BOOLC_43;2;9.39;11;;;;;
acts;NUMC_29;2;6.45;7786;;;;;
acts;UNIFORM_ALL_2;2;0.47;349;;;;;
acts;MCA_20;2;0.49;1680;;;;;
acts;MCA_9;2;0.7;2352;;;;;
acts;MCAC_26;2;130.95;2072;;;;;
acts;BOOLC_12;2;0.95;4;;;;;
acts;BOOLC_47;2;16.33;14;;;;;
acts;UNIFORM_BOOLEAN_16;2;0.31;8;;;;;
acts;UNIFORM_BOOLEAN_43;2;0.3;10;;;;;
acts;UNIFORM_BOOLEAN_45;2;0.31;6;;;;;
acts;UNIFORM_BOOLEAN_10;2;0.29;10;;;;;
acts;UNIFORM_ALL_10;2;0.29;9;;;;;
acts;UNIFORM_ALL_45;2;0.57;620;;;;;
acts;UNIFORM_BOOLEAN_49;2;0.32;12;;;;;
acts;UNIFORM_BOOLEAN_46;2;0.27;10;;;;;
acts;UNIFORM_BOOLEAN_13;2;0.32;10;;;;;
acts;MCA_23;2;0.38;924;;;;;
acts;NUMC_22;2;0.78;506;;;;;
acts;BOOLC_0;2;0.98;8;;;;;
acts;UNIFORM_ALL_5;2;0.34;140;;;;;
acts;BOOLC_11;2;0.61;2;;;;;
acts;BOOLC_44;2;0.78;9;;;;;
acts;MCA_27;2;0.33;705;;;;;
acts;BOOLC_15;2;0.72;10;;;;;
acts;MCAC_21;2;62.24;932;;;;;
acts;BOOLC_40;2;0.65;10;;;;;
acts;UNIFORM_ALL_48;2;0.29;25;;;;;
acts;UNIFORM_BOOLEAN_42;2;0.3;10;;;;;
acts;UNIFORM_BOOLEAN_17;2;0.26;4;;;;;
acts;UNIFORM_BOOLEAN_11;2;0.29;10;;;;;
acts;UNIFORM_BOOLEAN_44;2;0.29;8;;;;;
acts;MCA_13;2;0.65;1921;;;;;
acts;MCA_46;2;0.5;920;;;;;
acts;BOOLC_30;2;8.18;12;;;;;
acts;UNIFORM_ALL_31;2;0.33;10;;;;;
acts;NUMC_6;2;0.85;1280;;;;;
acts;UNIFORM_BOOLEAN_39;2;0.33;10;;;;;
acts;UNIFORM_ALL_35;2;0.55;361;;;;;
acts;UNIFORM_BOOLEAN_36;2;0.31;12;;;;;
acts;NUMC_2;2;0.63;574;;;;;
acts;BOOLC_37;2;0.83;2;;;;;
acts;MCA_14;2;0.44;1540;;;;;
acts;MCA_41;2;0.63;1817;;;;;
acts;UNIFORM_ALL_36;2;0.36;169;;;;;
acts;MCAC_18;2;1.1;1;;;;;
acts;NUMC_1;2;0.81;2155;;;;;
acts;UNIFORM_ALL_32;2;0.36;121;;;;;
acts;NUMC_5;2;0.52;8;;;;;
acts;UNIFORM_BOOLEAN_31;2;0.3;8;;;;;
acts;MCAC_49;2;1.03;1430;;;;;
acts;MCA_45;2;0.29;6;;;;;
acts;MCA_10;2;0.56;1850;;;;;
acts;MCA_32;2;0.46;1628;;;;;
acts;MCAC_34;2;300.15;0;Timeout;;;;
acts;MCA_36;2;0.52;1776;;;;;
acts;BOOLC_49;2;0.58;5;;;;;
acts;NUMC_37;2;1.42;2125;;;;;
acts;UNIFORM_ALL_3;2;0.36;121;;;;;
acts;UNIFORM_BOOLEAN_0;2;0.29;8;;;;;
acts;MCA_42;2;0.52;1047;;;;;
acts;MCA_17;2;0.41;482;;;;;
acts;UNIFORM_ALL_38;2;0.33;361;;;;;
acts;MCA_35;2;0.65;2165;;;;;
acts;NUMC_38;2;0.52;3;;;;;
acts;MCAC_33;2;300.4;0;Timeout;;;;
acts;NUMC_30;2;0.83;1269;;;;;
acts;MCA_31;2;0.32;539;;;;;
acts;UNIFORM_ALL_4;2;0.38;310;;;;;
acts;UNIFORM_BOOLEAN_7;2;0.28;8;;;;;
acts;BOOLC_9;2;0.91;11;;;;;
