Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
ACTS,MCA_0,0,230,44.0,2,,
PICT w SEEDS,MCA_0,0,230,63.0,3,,
PICT,MCA_0,100,253,63.0,3,,
ACTS w SEEDS,MCA_0,0,3409,227.0,3,,
ACTS,MCA_0,100,3409,169.0,3,,
pMEDICI+,MCA_0,0,4898,46396.0,3,AS_DECLARED,
pMEDICI,MCA_0,100,4906,56519.0,3,AS_DECLARED,
pMEDICI+,MCA_0,0,4298,54529.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,100,4328,69186.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,5634,43887.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,100,5610,56611.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,4990,49388.0,3,RANDOM,
pMEDICI,MCA_0,100,4481,58361.0,3,RANDOM,
ACTS,MCA_0,0,230,12.0,2,,
PICT w SEEDS,MCA_0,0,230,105.0,3,,
PICT,MCA_0,100,253,61.0,3,,
ACTS w SEEDS,MCA_0,0,3409,163.0,3,,
ACTS,MCA_0,100,3409,136.0,3,,
pMEDICI+,MCA_0,0,4959,46047.0,3,AS_DECLARED,
pMEDICI,MCA_0,100,4957,56917.0,3,AS_DECLARED,
pMEDICI+,MCA_0,0,4286,54668.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,100,4319,68976.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,5651,43404.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,100,5611,55533.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,4665,50732.0,3,RANDOM,
pMEDICI,MCA_0,100,4807,58572.0,3,RANDOM,
ACTS,MCA_0,0,230,3.0,2,,
PICT w SEEDS,MCA_0,0,230,52.0,3,,
PICT,MCA_0,100,253,65.0,3,,
ACTS w SEEDS,MCA_0,0,3409,135.0,3,,
ACTS,MCA_0,100,3409,137.0,3,,
pMEDICI+,MCA_0,0,4938,47247.0,3,AS_DECLARED,
pMEDICI,MCA_0,100,4907,56935.0,3,AS_DECLARED,
pMEDICI+,MCA_0,0,4290,54180.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,100,4319,68784.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,5628,44007.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,100,5593,56169.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,5054,46256.0,3,RANDOM,
pMEDICI,MCA_0,100,4540,68011.0,3,RANDOM,
ACTS,MCA_0,0,230,2.0,2,,
PICT w SEEDS,MCA_0,0,230,51.0,3,,
PICT,MCA_0,100,253,60.0,3,,
ACTS w SEEDS,MCA_0,0,3409,147.0,3,,
ACTS,MCA_0,100,3409,136.0,3,,
pMEDICI+,MCA_0,0,4946,47556.0,3,AS_DECLARED,
pMEDICI,MCA_0,100,4940,56559.0,3,AS_DECLARED,
pMEDICI+,MCA_0,0,4302,54577.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,100,4305,67991.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,5618,44315.0,3,IN_ORDER_SIZE_ASC,
