FileName,Strength,SeedSize,UsedSeedSize,TSSize,TSTime,cRnd,cInc,totTuples
UNIFORM_BOOLEAN_8,2,0,0,9,68.0,0.0,9.0,84
UNIFORM_BOOLEAN_8,2,1,1,8,20.0,21.0,9.0,84
UNIFORM_BOOLEAN_8,2,2,2,6,7.0,19.0,11.0,84
UNIFORM_BOOLEAN_8,2,3,3,8,8.0,17.0,6.0,84
UNIFORM_BOOLEAN_8,2,4,4,6,4.0,16.0,8.0,84
UNIFORM_BOOLEAN_8,2,5,5,8,3.0,12.0,6.0,84
UNIFORM_BOOLEAN_8,2,6,6,10,7.0,9.0,7.0,84
UNIFORM_BOOLEAN_8,2,7,7,10,7.0,10.0,4.0,84
UNIFORM_BOOLEAN_8,2,8,8,9,6.0,10.0,2.0,84
UNIFORM_BOOLEAN_8,2,9,8,10,15.0,9.0,5.0,84
UNIFORM_BOOLEAN_8,2,10,9,11,5.0,7.0,6.0,84
UNIFORM_BOOLEAN_8,2,11,11,12,7.0,7.0,5.0,84
UNIFORM_BOOLEAN_8,2,12,12,13,6.0,6.0,1.0,84
UNIFORM_BOOLEAN_8,2,13,13,14,5.0,6.0,2.0,84
UNIFORM_BOOLEAN_8,2,14,13,14,5.0,6.0,1.0,84
UNIFORM_BOOLEAN_8,2,15,14,14,20.0,6.0,0.0,84
UNIFORM_BOOLEAN_8,2,16,16,16,8.0,5.0,0.0,84
UNIFORM_BOOLEAN_8,2,17,15,15,2.0,5.0,0.0,84
UNIFORM_BOOLEAN_8,2,18,16,16,2.0,5.0,0.0,84
UNIFORM_BOOLEAN_8,2,19,17,17,3.0,4.0,0.0,84
UNIFORM_BOOLEAN_8,2,20,20,20,3.0,4.0,0.0,84
UNIFORM_BOOLEAN_8,2,21,19,19,2.0,4.0,0.0,84
UNIFORM_BOOLEAN_8,2,22,20,20,4.0,4.0,0.0,84
UNIFORM_BOOLEAN_8,2,23,21,21,2.0,4.0,0.0,84
UNIFORM_BOOLEAN_8,2,24,21,21,5.0,4.0,0.0,84
UNIFORM_BOOLEAN_8,2,25,24,24,5.0,3.0,0.0,84
UNIFORM_BOOLEAN_8,2,26,23,23,1.0,3.0,0.0,84
UNIFORM_BOOLEAN_8,2,27,23,23,2.0,3.0,0.0,84
UNIFORM_BOOLEAN_8,2,28,25,25,2.0,3.0,0.0,84
UNIFORM_BOOLEAN_8,2,29,26,26,2.0,3.0,0.0,84
UNIFORM_BOOLEAN_8,2,30,27,27,1.0,3.0,0.0,84
UNIFORM_BOOLEAN_8,2,31,29,29,2.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,32,28,28,1.0,3.0,0.0,84
UNIFORM_BOOLEAN_8,2,33,30,30,2.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,34,33,33,1.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,35,31,31,1.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,36,31,31,4.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,37,34,34,10.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,38,31,31,2.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,39,35,35,2.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,40,33,33,1.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,41,33,33,2.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,42,39,39,5.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,43,35,35,2.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,44,37,37,3.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,45,41,41,3.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,46,42,42,2.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,47,37,37,2.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,48,40,40,2.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,49,42,42,4.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,50,41,41,4.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,51,41,41,3.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,52,45,45,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,53,40,40,2.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,54,39,39,7.0,2.0,0.0,84
UNIFORM_BOOLEAN_8,2,55,43,43,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,56,45,45,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,57,43,43,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,58,46,46,5.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,59,48,48,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,60,49,49,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,61,49,49,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,62,46,46,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,63,53,53,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,64,51,51,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,65,53,53,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,66,53,53,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,67,55,55,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,68,51,51,1.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,69,55,55,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,70,58,58,7.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,71,53,53,9.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,72,53,53,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,73,56,56,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,74,53,53,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,75,59,59,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,76,59,59,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,77,59,59,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,78,56,56,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,79,62,62,9.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,80,59,59,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,81,60,60,7.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,82,62,62,7.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,83,64,64,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,84,65,65,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,85,60,60,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,86,62,62,5.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,87,61,61,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,88,64,64,7.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,89,60,60,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,90,59,59,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,91,63,63,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,92,70,70,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,93,68,68,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,94,68,68,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,95,63,63,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,96,65,65,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,97,71,71,5.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,98,66,66,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,99,67,67,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,100,71,71,11.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,101,71,71,8.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,102,68,68,8.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,103,68,68,5.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,104,65,65,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,105,79,79,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,106,78,78,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,107,73,73,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,108,74,74,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,109,73,73,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,110,64,64,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,111,74,74,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,112,76,76,12.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,113,73,73,5.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,114,73,73,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,115,74,74,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,116,71,71,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,117,69,69,5.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,118,78,78,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,119,81,81,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,120,83,83,8.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,121,78,78,6.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,122,84,84,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,123,82,82,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,124,82,82,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,125,78,78,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,126,81,81,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,127,86,86,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,128,87,87,8.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,129,82,82,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,130,82,82,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,131,83,83,7.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,132,75,75,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,133,80,80,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,134,78,78,7.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,135,91,91,4.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,136,86,86,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,137,79,79,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,138,83,83,8.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,139,82,82,4.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,140,89,89,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,141,80,80,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,142,87,87,3.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,143,84,84,3.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,144,83,83,2.0,1.0,0.0,84
UNIFORM_BOOLEAN_8,2,145,87,87,3.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,146,89,89,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,147,92,92,3.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,148,87,87,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,149,86,86,5.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,150,90,90,3.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,151,96,96,4.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,152,88,88,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,153,88,88,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,154,93,93,3.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,155,88,88,8.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,156,90,90,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,157,92,92,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,158,97,97,3.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,159,94,94,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,160,86,86,4.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,161,91,91,2.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,162,91,91,3.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,163,92,92,3.0,0.0,0.0,84
UNIFORM_BOOLEAN_8,2,164,97,97,3.0,0.0,0.0,84
