fileName;size;time
MCA_1.ctw;1338;33.0
MCA_1.ctw;1338;31.0
MCA_1.ctw;1338;31.0
MCA_1.ctw;1338;31.0
MCA_1.ctw;1338;23.0
MCA_1.ctw;1338;31.0
MCA_1.ctw;1338;31.0
MCA_1.ctw;1338;35.0
MCA_2.ctw;1376;9.0
MCA_2.ctw;1376;6.0
MCA_2.ctw;1376;9.0
MCA_2.ctw;1376;9.0
MCA_2.ctw;1376;9.0
MCA_2.ctw;1376;9.0
MCA_2.ctw;1376;9.0
MCA_2.ctw;1376;9.0
MCA_2.ctw;1376;9.0
MCA_2.ctw;1376;9.0
UNIFORM_BOOLEAN_0.ctw;10;1.0
UNIFORM_BOOLEAN_0.ctw;10;1.0
UNIFORM_BOOLEAN_0.ctw;10;1.0
UNIFORM_BOOLEAN_0.ctw;10;1.0
UNIFORM_BOOLEAN_0.ctw;10;1.0
UNIFORM_BOOLEAN_0.ctw;10;1.0
UNIFORM_BOOLEAN_0.ctw;10;1.0
UNIFORM_BOOLEAN_0.ctw;10;1.0
UNIFORM_BOOLEAN_0.ctw;10;1.0
UNIFORM_BOOLEAN_0.ctw;10;1.0
ADD_NUMC_0.ctw;3583;17042.0
ADD_NUMC_0.ctw;3583;18870.0
ADD_NUMC_0.ctw;3583;18382.0
ADD_NUMC_0.ctw;3583;18171.0
ADD_NUMC_0.ctw;3583;18906.0
ADD_NUMC_0.ctw;3583;17530.0
ADD_NUMC_0.ctw;3583;17039.0
ADD_NUMC_0.ctw;3583;18498.0
ADD_NUMC_0.ctw;3583;18159.0
ADD_NUMC_0.ctw;3583;17547.0
UNIFORM_ALL_4.ctw;400;2.0
UNIFORM_ALL_4.ctw;400;1.0
UNIFORM_ALL_4.ctw;400;1.0
UNIFORM_ALL_4.ctw;400;1.0
UNIFORM_ALL_4.ctw;400;1.0
UNIFORM_ALL_4.ctw;400;1.0
UNIFORM_ALL_4.ctw;400;2.0
UNIFORM_ALL_4.ctw;400;2.0
UNIFORM_ALL_4.ctw;400;1.0
UNIFORM_ALL_4.ctw;400;2.0
