fileName;size;time;isSortingEnabled;orderingType;nThreads;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;43;1799;false;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;43;1933;false;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;43;1982;false;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;45;1981;false;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;46;2004;false;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;43;1905;false;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;47;2028;true;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;48;1891;true;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;45;1936;true;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;50;1918;true;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;46;1840;true;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;47;1867;true;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;47;2070;true;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;49;2053;true;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;50;1952;true;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;47;1966;true;IN_ORDER_SIZE_ASC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;46;2106;false;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;44;2024;false;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;43;1936;false;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;44;1866;false;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;44;1945;false;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;45;1828;false;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;43;1856;false;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;44;1881;false;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;47;2061;false;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;43;1861;false;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;49;1875;true;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;47;1897;true;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;49;1890;true;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;47;1886;true;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;48;1805;true;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;49;1910;true;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;49;1959;true;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;50;1945;true;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;48;1853;true;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/ADD_BOOLC_1.ctw;46;1844;true;RANDOM;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;1021;37918;false;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;990;36355;false;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;969;34501;false;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;1003;37147;false;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;1010;36120;false;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;981;34975;false;AS_DECLARED;32;;;;;;;
