fileName;size;time;isSortingEnabled;nThreads
ADD_BOOLC_3.txt;3;86;true;32
ADD_BOOLC_3.txt;2;59;true;32
UNIFORM_BOOLEAN_4.txt;26;9;false;32
UNIFORM_BOOLEAN_4.txt;30;9;false;32
UNIFORM_BOOLEAN_4.txt;31;9;false;32
UNIFORM_BOOLEAN_4.txt;30;10;false;32
UNIFORM_BOOLEAN_4.txt;26;7;false;32
UNIFORM_BOOLEAN_4.txt;32;24;false;32
UNIFORM_BOOLEAN_4.txt;28;10;false;32
UNIFORM_BOOLEAN_4.txt;33;14;false;32
UNIFORM_BOOLEAN_4.txt;29;12;false;32
UNIFORM_BOOLEAN_4.txt;34;12;false;32
UNIFORM_BOOLEAN_4.txt;30;9;true;32
UNIFORM_BOOLEAN_4.txt;27;18;true;32
UNIFORM_BOOLEAN_4.txt;26;8;true;32
UNIFORM_BOOLEAN_4.txt;29;8;true;32
UNIFORM_BOOLEAN_4.txt;24;15;true;32
UNIFORM_BOOLEAN_4.txt;28;10;true;32
UNIFORM_BOOLEAN_4.txt;28;8;true;32
UNIFORM_BOOLEAN_4.txt;34;11;true;32
UNIFORM_BOOLEAN_4.txt;32;12;true;32
UNIFORM_BOOLEAN_4.txt;28;8;true;32
ADD_BOOLC_4.txt;43;53;false;32
ADD_BOOLC_4.txt;40;44;false;32
ADD_BOOLC_4.txt;43;45;false;32
ADD_BOOLC_4.txt;35;44;false;32
ADD_BOOLC_4.txt;39;43;false;32
ADD_BOOLC_4.txt;43;46;false;32
ADD_BOOLC_4.txt;41;46;false;32
ADD_BOOLC_4.txt;41;46;false;32
ADD_BOOLC_4.txt;44;38;false;32
ADD_BOOLC_4.txt;39;36;false;32
ADD_BOOLC_4.txt;18;35;true;32
ADD_BOOLC_4.txt;17;53;true;32
ADD_BOOLC_4.txt;15;40;true;32
ADD_BOOLC_4.txt;15;33;true;32
ADD_BOOLC_4.txt;19;50;true;32
ADD_BOOLC_4.txt;15;38;true;32
ADD_BOOLC_4.txt;15;49;true;32
ADD_BOOLC_4.txt;18;39;true;32
ADD_BOOLC_4.txt;13;26;true;32
ADD_BOOLC_4.txt;18;36;true;32
UNIFORM_ALL_0.txt;467;1015;false;32
UNIFORM_ALL_0.txt;494;1069;false;32
UNIFORM_ALL_0.txt;461;1004;false;32
UNIFORM_ALL_0.txt;486;976;false;32
UNIFORM_ALL_0.txt;452;871;false;32
UNIFORM_ALL_0.txt;512;1006;false;32
UNIFORM_ALL_0.txt;500;959;false;32
UNIFORM_ALL_0.txt;481;1024;false;32
UNIFORM_ALL_0.txt;475;991;false;32
UNIFORM_ALL_0.txt;476;916;false;32
UNIFORM_ALL_0.txt;475;1140;true;32
UNIFORM_ALL_0.txt;461;1007;true;32
UNIFORM_ALL_0.txt;447;729;true;32
UNIFORM_ALL_0.txt;452;748;true;32
UNIFORM_ALL_0.txt;454;751;true;32
UNIFORM_ALL_0.txt;455;908;true;32
UNIFORM_ALL_0.txt;496;957;true;32
UNIFORM_ALL_0.txt;471;1002;true;32
UNIFORM_ALL_0.txt;494;1013;true;32
UNIFORM_ALL_0.txt;454;897;true;32
ADD_MCAC_4.txt;582;460;false;32
ADD_MCAC_4.txt;584;443;false;32
ADD_MCAC_4.txt;590;474;false;32
ADD_MCAC_4.txt;587;487;false;32
ADD_MCAC_4.txt;588;511;false;32
ADD_MCAC_4.txt;581;486;false;32
ADD_MCAC_4.txt;585;499;false;32
ADD_MCAC_4.txt;585;531;false;32
ADD_MCAC_4.txt;581;460;false;32
ADD_MCAC_4.txt;587;397;false;32
ADD_MCAC_4.txt;581;1891;true;32
ADD_MCAC_4.txt;583;1841;true;32
ADD_MCAC_4.txt;581;2086;true;32
ADD_MCAC_4.txt;581;2339;true;32
ADD_MCAC_4.txt;582;2587;true;32
ADD_MCAC_4.txt;583;1786;true;32
ADD_MCAC_4.txt;583;2247;true;32
ADD_MCAC_4.txt;583;1965;true;32
ADD_MCAC_4.txt;581;2517;true;32
ADD_MCAC_4.txt;584;2406;true;32
MCA_4.txt;1501;2518;false;32
MCA_4.txt;1496;2779;false;32
MCA_4.txt;1496;2608;false;32
MCA_4.txt;1496;2232;false;32
MCA_4.txt;1496;2393;false;32
MCA_4.txt;1496;2380;false;32
MCA_4.txt;1496;2459;false;32
MCA_4.txt;1496;2166;false;32
MCA_4.txt;1496;2193;false;32
MCA_4.txt;1496;2025;false;32
MCA_4.txt;1496;2474;true;32
MCA_4.txt;1496;2329;true;32
MCA_4.txt;1498;2040;true;32
MCA_4.txt;1496;2248;true;32
MCA_4.txt;1496;2276;true;32
MCA_4.txt;1496;2109;true;32
MCA_4.txt;1496;2144;true;32
MCA_4.txt;1499;2353;true;32
MCA_4.txt;1496;2203;true;32
MCA_4.txt;1496;1766;true;32
ADD_MCAC_1.txt;24;41;false;32
ADD_MCAC_1.txt;12;42;false;32
ADD_MCAC_1.txt;19;46;false;32
ADD_MCAC_1.txt;20;38;false;32
ADD_MCAC_1.txt;14;38;false;32
ADD_MCAC_1.txt;20;36;false;32
ADD_MCAC_1.txt;19;37;false;32
ADD_MCAC_1.txt;13;44;false;32
ADD_MCAC_1.txt;14;37;false;32
ADD_MCAC_1.txt;17;38;false;32
ADD_MCAC_1.txt;11;37;true;32
ADD_MCAC_1.txt;10;39;true;32
ADD_MCAC_1.txt;12;53;true;32
ADD_MCAC_1.txt;9;41;true;32
ADD_MCAC_1.txt;9;37;true;32
ADD_MCAC_1.txt;11;41;true;32
ADD_MCAC_1.txt;11;51;true;32
ADD_MCAC_1.txt;13;49;true;32
ADD_MCAC_1.txt;12;37;true;32
ADD_MCAC_1.txt;11;42;true;32
UNIFORM_ALL_2.txt;144;10;false;32
UNIFORM_ALL_2.txt;144;8;false;32
UNIFORM_ALL_2.txt;144;9;false;32
UNIFORM_ALL_2.txt;144;9;false;32
UNIFORM_ALL_2.txt;144;13;false;32
UNIFORM_ALL_2.txt;144;12;false;32
UNIFORM_ALL_2.txt;144;8;false;32
UNIFORM_ALL_2.txt;144;9;false;32
UNIFORM_ALL_2.txt;144;9;false;32
UNIFORM_ALL_2.txt;144;9;false;32
UNIFORM_ALL_2.txt;144;10;true;32
UNIFORM_ALL_2.txt;144;12;true;32
UNIFORM_ALL_2.txt;144;13;true;32
UNIFORM_ALL_2.txt;144;13;true;32
UNIFORM_ALL_2.txt;144;9;true;32
UNIFORM_ALL_2.txt;144;9;true;32
UNIFORM_ALL_2.txt;144;10;true;32
UNIFORM_ALL_2.txt;144;10;true;32
UNIFORM_ALL_2.txt;144;9;true;32
UNIFORM_ALL_2.txt;144;8;true;32
UNIFORM_BOOLEAN_2.txt;28;10;false;32
UNIFORM_BOOLEAN_2.txt;27;8;false;32
UNIFORM_BOOLEAN_2.txt;25;11;false;32
UNIFORM_BOOLEAN_2.txt;26;7;false;32
UNIFORM_BOOLEAN_2.txt;20;11;false;32
UNIFORM_BOOLEAN_2.txt;24;7;false;32
UNIFORM_BOOLEAN_2.txt;30;7;false;32
UNIFORM_BOOLEAN_2.txt;28;8;false;32
UNIFORM_BOOLEAN_2.txt;26;8;false;32
UNIFORM_BOOLEAN_2.txt;23;7;false;32
UNIFORM_BOOLEAN_2.txt;22;7;true;32
UNIFORM_BOOLEAN_2.txt;30;12;true;32
UNIFORM_BOOLEAN_2.txt;21;9;true;32
UNIFORM_BOOLEAN_2.txt;27;9;true;32
UNIFORM_BOOLEAN_2.txt;25;45;true;32
UNIFORM_BOOLEAN_2.txt;23;8;true;32
